A549AMG0.1rep1.htseq	A549AMG0.1rep2.htseq	A549AMG0.1rep3.htseq	A549AMG0.1rep4.htseq	A549DMSOrep1.htseq	A549DMSOrep2.htseq	A549DMSOrep3.htseq	A549DMSOrep4.htseq
MIR545	0	0	0	0	0	0	0	0
MIR548A1	0	0	0	0	0	0	0	0
MIR548A2	0	0	0	0	0	0	0	0
MIR548A3	0	0	0	0	0	0	0	0
MIR548AA1	0	0	0	0	0	0	0	0
MIR548AA2	0	0	0	0	0	0	0	0
MIR548AB	0	0	0	0	0	0	0	0
MIR548AC	0	0	0	0	0	0	0	0
MIR548AD	0	0	0	0	0	0	0	0
MIR548AE1	0	0	0	0	0	0	0	0
MIR548AE2	0	0	0	0	0	0	0	0
MIR548AG1	0	0	0	0	0	0	0	0
MIR548AG2	0	0	0	0	0	0	0	0
MIR548AH	0	0	0	0	0	0	0	0
MIR548AI	0	0	0	0	0	0	0	0
MIR548AJ1	0	0	0	0	0	0	0	0
MIR548AJ2	0	0	0	0	0	0	0	0
MIR548AK	0	0	0	0	0	0	0	0
MIR548AL	0	0	0	0	0	0	0	0
MIR548AM	0	0	0	0	0	0	0	0
MIR548AN	0	0	0	0	0	0	0	0
MIR548AO	0	0	0	0	0	0	0	0
MIR548AP	0	0	0	0	0	0	0	0
MIR548AQ	0	0	0	0	0	0	0	0
MIR548AR	0	0	0	0	0	0	0	0
MIR548AS	0	0	0	0	0	0	0	0
MIR548AT	0	0	0	0	0	0	0	0
MIR548AU	0	0	0	0	0	0	0	0
MIR548AV	0	0	0	0	0	0	0	0
MIR548AW	0	0	0	0	0	0	0	0
MIR548AX	0	0	0	0	0	0	0	0
MIR548AY	0	0	0	0	0	0	0	0
MIR548AZ	0	0	0	0	0	0	0	0
MIR548B	0	0	0	0	0	0	0	0
MIR548BA	0	0	0	0	0	0	0	0
MIR548BB	0	0	0	0	0	0	0	0
MIR548C	0	0	0	0	0	0	0	0
MIR548D1	0	0	0	0	0	0	0	0
MIR548D2	0	0	0	0	0	0	0	0
MIR548F1	0	0	0	0	0	0	0	0
MIR548F2	0	0	0	0	0	0	0	0
MIR548F3	0	0	0	0	0	0	0	0
MIR548F4	0	0	0	0	0	0	0	0
MIR548F5	0	0	0	0	0	0	0	0
MIR548G	0	0	0	0	0	0	0	0
MIR548H1	0	0	0	0	0	0	0	0
MIR548H2	0	0	0	0	0	0	0	0
MIR548H3	0	0	0	0	0	0	0	0
MIR548H4	0	0	0	0	0	0	0	0
MIR548H5	0	0	0	0	0	0	0	0
MIR548I1	0	0	0	0	0	0	0	0
MIR548I2	0	0	0	0	0	0	0	0
MIR548I3	0	0	0	0	0	0	0	0
MIR548I4	0	0	0	0	0	0	0	0
MIR548J	0	0	0	0	0	0	0	0
MIR548K	0	0	0	0	0	0	0	0
MIR548L	0	0	0	0	0	0	0	0
MIR548M	0	0	0	0	0	0	0	0
MIR548N	0	0	0	0	0	0	0	0
MIR548O	0	0	0	0	0	0	0	0
MIR548O2	0	0	0	0	0	0	0	0
MIR548P	0	0	0	0	0	0	0	0
MIR548Q	0	0	0	0	0	0	0	0
MIR548S	0	0	0	0	0	0	0	0
MIR548T	0	0	0	0	0	0	0	0
MIR548U	0	0	0	0	0	0	0	0
MIR548V	0	0	0	0	0	0	0	0
MIR548W	0	0	0	0	0	0	0	0
MIR548X	0	0	0	0	0	0	0	0
MIR548X2	0	0	0	0	0	0	0	0
MIR548XHG	0	0	1	0	0	0	0	0
MIR548Y	0	0	0	0	0	0	0	0
MIR548Z	0	0	0	0	0	0	0	0
MIR549A	0	0	0	0	0	0	0	0
MIR550A1	0	0	0	0	0	0	0	0
MIR550A2	0	0	0	0	0	0	0	0
MIR550A3	0	0	0	0	0	0	0	0
MIR550B1	0	0	0	0	0	0	0	0
MIR550B2	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0
MIR551B	0	0	0	0	0	0	0	0
MIR552	0	0	0	0	0	0	0	0
MIR553	0	0	0	0	0	0	0	0
MIR554	0	0	0	0	0	0	0	0
MIR555	0	0	0	0	0	0	0	0
MIR556	0	0	0	0	0	0	0	0
MIR557	0	0	0	0	0	0	0	0
MIR5571	0	0	0	0	0	0	0	0
MIR5572	0	0	0	0	0	0	0	0
MIR5579	0	0	0	0	0	0	0	0
MIR558	0	0	0	0	0	0	0	0
MIR5580	0	0	0	0	0	0	0	0
MIR5581	0	0	0	0	0	0	0	0
MIR5582	0	0	0	0	0	0	0	0
MIR5583-1	0	0	0	0	0	0	0	0
MIR5583-2	0	0	0	0	0	0	0	0
MIR5584	0	0	0	0	0	0	0	0
MIR5585	0	0	0	0	0	0	0	0
MIR5586	0	0	0	0	0	0	0	0
MIR5587	0	0	0	0	0	0	0	0
MIR5588	0	0	0	0	0	0	0	0
MIR5589	0	0	0	0	0	0	0	0
MIR559	0	0	0	0	0	0	0	0
MIR5590	0	0	0	0	0	0	0	0
MIR5591	0	0	0	0	0	0	0	0
MIR561	0	0	0	0	0	0	0	0
MIR563	0	0	0	0	0	0	0	0
MIR564	0	2	0	0	0	0	0	0
MIR566	0	0	0	0	0	0	0	0
MIR567	0	0	0	0	0	0	0	0
MIR568	0	0	0	0	0	0	0	0
MIR5680	0	0	0	0	0	0	0	0
MIR5681A	0	0	0	0	0	0	0	0
MIR5681B	0	0	0	0	0	0	0	0
MIR5682	0	0	0	0	0	0	0	0
MIR5683	0	0	0	0	0	0	0	0
MIR5684	0	0	0	0	0	0	0	0
MIR5685	0	0	0	0	0	0	0	0
MIR5687	0	0	0	0	0	0	0	0
MIR5688	0	0	0	0	0	0	0	0
MIR5689	0	0	0	0	0	0	0	0
MIR5689HG	0	0	0	0	0	0	0	0
MIR569	0	0	0	0	0	0	0	0
MIR5690	0	0	0	0	0	0	0	0
MIR5691	0	0	0	0	0	0	0	0
MIR5692A1	0	0	0	0	0	0	0	0
MIR5692A2	0	0	0	0	0	0	0	0
MIR5692B	0	0	0	0	0	0	0	0
MIR5692C1	0	0	0	0	0	0	0	0
MIR5692C2	0	0	0	0	0	0	0	0
MIR5693	0	0	0	0	0	0	0	0
MIR5694	0	0	0	0	0	0	0	0
MIR5695	0	0	0	0	0	0	0	0
MIR5696	0	0	0	0	0	0	0	0
MIR5697	0	0	0	0	0	0	0	0
MIR5698	0	0	0	0	0	0	0	0
MIR5699	0	0	0	0	0	0	0	0
MIR570	0	0	0	0	1	0	0	0
MIR5700	0	0	0	0	0	0	0	0
MIR5701-1	0	0	0	0	0	0	0	0
MIR5701-2	0	0	0	0	0	0	0	0
MIR5701-3	0	0	0	0	0	0	0	0
MIR5702	0	0	0	0	0	0	0	0
MIR5703	0	0	0	0	0	0	0	0
MIR5704	0	0	0	0	0	0	0	0
MIR5705	0	0	0	0	0	0	0	0
MIR5706	0	0	0	0	0	0	0	0
MIR5707	0	0	0	0	0	0	0	0
MIR5708	0	0	0	0	0	0	0	0
MIR571	0	0	0	0	0	0	0	0
MIR572	0	0	0	0	0	0	0	0
MIR573	0	0	0	0	0	0	0	0
MIR5739	0	0	0	0	0	0	0	0
MIR574	0	0	0	0	0	0	0	0
MIR575	0	0	0	0	0	0	0	0
MIR577	0	0	0	0	0	0	0	0
MIR578	0	0	0	0	0	0	0	0
MIR5787	0	0	0	1	0	0	0	0
MIR579	0	0	0	0	0	0	0	0
MIR580	0	0	0	0	0	0	0	0
MIR581	0	0	0	0	0	0	0	0
MIR583	0	0	0	0	0	0	0	0
MIR585	0	0	0	0	0	0	0	0
MIR586	0	0	0	0	0	0	0	0
MIR587	0	0	0	0	0	0	0	0
MIR588	0	0	0	0	0	0	0	0
MIR589	0	0	0	0	0	0	0	0
MIR590	0	0	0	0	0	0	0	0
MIR591	0	0	0	0	0	0	0	0
MIR592	0	0	0	0	0	0	0	0
MIR593	0	0	0	0	0	0	0	0
MIR595	0	0	0	0	0	0	0	0
MIR596	0	0	0	0	0	0	0	0
MIR597	0	0	0	0	0	0	0	0
MIR598	0	0	0	0	0	0	0	0
MIR599	0	0	0	0	0	0	0	0
MIR600	0	0	0	0	0	0	0	0
MIR600HG	29	37	25	27	3	12	35	28
MIR601	0	0	0	0	0	0	0	0
MIR602	0	0	0	0	0	0	0	0
MIR603	0	0	0	0	0	0	0	0
MIR604	0	0	0	0	0	0	0	0
MIR605	0	0	0	0	0	0	0	0
MIR606	0	0	0	0	0	0	0	0
MIR6068	0	0	0	0	0	0	0	0
MIR6069	0	0	0	0	0	0	0	0
MIR607	0	0	0	0	0	0	0	0
MIR6070	0	0	0	0	0	0	0	0
MIR6071	0	0	0	0	0	0	0	0
MIR6072	0	0	0	0	0	0	0	0
MIR6073	0	0	0	0	0	0	0	0
MIR6074	0	0	0	0	0	0	0	0
MIR6075	0	0	0	0	0	0	0	0
MIR6076	0	0	0	0	0	0	0	0
MIR6077	0	0	0	0	0	0	0	0
MIR6078	0	0	0	0	0	0	0	0
MIR6079	0	0	0	0	0	0	0	0
MIR608	0	0	0	0	0	0	0	0
MIR6080	0	0	0	0	0	0	0	0
MIR6081	0	0	0	0	0	0	0	0
MIR6082	0	0	0	0	0	0	0	0
MIR6083	0	0	0	0	0	0	0	0
MIR6084	0	0	0	0	0	0	0	0
MIR6085	0	0	0	0	0	0	0	0
MIR6086	0	0	0	0	0	0	0	0
MIR6087	0	0	0	0	0	0	0	0
MIR6088	0	0	0	0	0	0	0	0
MIR6089	0	0	0	0	0	0	0	0
MIR609	0	0	0	0	0	0	0	0
MIR6090	0	0	0	0	0	0	0	0
MIR610	0	0	0	0	0	0	0	0
MIR611	0	0	0	0	0	0	0	0
MIR612	0	0	0	0	0	0	0	0
MIR6124	0	0	0	0	0	0	0	0
MIR6125	0	0	0	0	0	0	0	0
MIR6126	0	0	0	0	0	0	0	0
MIR6127	0	0	0	0	0	0	0	0
MIR6128	0	0	0	0	0	0	0	0
MIR6129	0	0	0	0	0	0	0	0
MIR613	0	0	0	0	0	0	0	0
MIR6130	0	0	0	0	0	0	0	0
MIR6131	0	0	0	0	0	0	0	0
MIR6132	0	0	0	0	0	0	0	0
MIR6133	0	0	0	0	0	0	0	0
MIR6134	0	0	0	0	0	0	0	0
MIR614	0	0	0	0	0	0	0	0
MIR615	0	0	0	0	0	0	0	0
MIR616	0	0	0	0	0	0	0	0
MIR6165	0	0	0	0	0	0	0	0
MIR617	0	0	0	0	0	0	0	0
MIR618	0	0	0	0	0	0	0	0
MIR619	0	0	0	0	0	0	0	0
MIR620	0	0	0	0	0	0	0	0
MIR621	0	0	0	0	0	0	0	0
MIR622	0	0	2	6	0	2	1	0
MIR623	0	0	0	0	0	0	0	0
MIR624	0	0	0	0	0	0	0	0
MIR625	0	0	0	0	0	0	0	0
MIR626	0	0	0	0	0	0	0	0
MIR627	0	0	0	0	0	0	0	0
MIR628	0	0	0	0	0	0	0	0
MIR629	0	0	0	0	0	0	0	0
MIR630	0	0	0	0	0	0	0	0
MIR631	0	0	0	0	0	0	0	0
MIR632	0	0	0	0	0	0	0	0
MIR633	0	0	0	0	0	0	0	0
MIR634	0	0	0	0	0	0	0	0
MIR635	0	0	0	0	0	0	0	0
MIR636	0	0	0	0	0	0	0	0
MIR637	0	0	0	0	0	0	0	0
MIR638	1	0	0	0	0	0	0	0
MIR639	0	0	0	1	0	0	0	0
MIR640	0	0	0	1	0	0	0	0
MIR641	0	0	0	0	0	0	0	0
MIR642A	0	0	0	0	0	0	0	0
MIR642B	0	0	0	0	0	0	0	0
MIR643	0	0	0	0	0	0	0	0
MIR644A	0	0	0	0	0	0	0	0
MIR645	0	0	0	0	0	0	0	0
MIR646	0	0	0	0	0	0	0	0
MIR646HG	0	0	0	0	0	0	0	0
MIR647	0	1	0	0	0	0	0	0
MIR648	0	0	0	0	0	0	0	0
MIR649	0	0	0	0	0	0	0	0
MIR6499	0	0	0	0	0	0	0	0
MIR650	0	0	0	0	0	0	0	0
MIR6500	0	0	0	0	0	0	0	0
MIR6501	0	0	0	0	0	0	0	0
MIR6502	0	0	0	0	0	0	0	0
MIR6503	0	0	0	0	0	0	0	0
MIR6504	0	0	0	0	0	0	0	0
MIR6505	0	0	0	0	0	0	0	0
MIR6506	0	0	0	0	0	0	0	0
MIR6507	0	0	0	0	0	0	0	0
MIR6508	0	0	0	0	0	0	0	0
MIR6509	0	0	0	0	0	0	0	0
MIR651	0	0	0	0	0	0	0	0
MIR6510	0	0	0	0	0	0	0	0
MIR6511A1	0	0	0	0	0	0	0	0
MIR6511A2	0	0	0	0	0	0	0	0
MIR6511A3	0	0	0	0	0	0	0	0
MIR6511A4	0	0	0	0	0	0	0	0
MIR6511B1	0	0	0	0	0	0	0	0
MIR6511B2	0	0	0	0	0	0	0	0
MIR6512	0	0	0	0	0	0	0	0
MIR6513	0	0	0	0	0	0	0	0
MIR6514	0	0	0	0	0	0	0	0
MIR6515	0	0	0	0	0	0	0	0
MIR6516	0	0	0	0	0	0	0	0
MIR652	0	0	0	0	0	0	0	0
MIR653	0	0	0	0	0	0	0	0
MIR654	0	0	0	0	0	0	0	0
MIR655	0	0	0	0	0	0	0	0
MIR656	0	0	0	0	0	0	0	0
MIR657	0	0	0	0	0	0	0	0
MIR658	0	0	0	0	0	0	0	0
MIR659	0	0	0	0	0	0	0	0
MIR660	0	0	0	0	0	0	0	0
MIR661	0	0	0	0	0	0	0	0
MIR662	0	0	0	0	0	0	0	0
MIR663A	0	0	0	0	0	0	0	0
MIR663AHG	0	0	0	0	0	0	0	0
MIR663B	0	0	0	0	0	0	0	0
MIR664A	0	0	0	0	0	0	0	0
MIR664B	0	0	0	0	0	0	0	0
MIR665	0	0	0	0	0	0	0	0
MIR668	0	0	0	0	0	0	0	0
MIR670	0	0	0	0	0	0	0	0
MIR670HG	0	0	0	0	0	0	0	0
MIR671	0	0	0	0	0	0	0	0
MIR6715A	0	0	0	0	0	0	0	0
MIR6715B	0	0	0	0	0	0	0	0
MIR6716	0	0	0	0	0	0	0	0
MIR6717	0	0	0	0	0	0	0	0
MIR6718	0	0	0	0	0	0	0	0
MIR6719	0	0	0	0	0	0	0	0
MIR6720	0	0	0	0	0	0	0	0
MIR6721	0	0	0	0	0	0	0	0
MIR6722	0	0	0	0	0	0	0	0
MIR6723	2	0	1	0	0	1	0	2
MIR6724-1	0	0	0	0	0	0	0	0
MIR6724-2	0	0	0	0	0	0	0	0
MIR6724-3	0	0	0	0	0	0	0	0
MIR6724-4	0	0	0	0	0	0	0	0
MIR6726	0	0	0	0	1	0	0	0
MIR6727	0	0	0	0	0	0	0	0
MIR6728	0	0	0	0	0	0	0	0
MIR6729	0	0	0	0	0	0	0	0
MIR6730	0	0	0	0	0	0	0	0
MIR6731	0	0	0	0	0	0	0	0
MIR6732	0	0	0	0	0	0	0	0
MIR6733	0	0	0	0	0	0	0	0
MIR6734	0	0	0	0	0	0	0	0
MIR6735	0	0	0	0	0	0	0	0
MIR6736	0	0	0	0	0	0	0	0
MIR6737	0	0	0	0	0	0	0	0
MIR6738	0	0	0	0	0	0	0	0
MIR6739	0	0	0	0	0	0	0	0
MIR6740	0	0	0	0	0	0	0	0
MIR6741	0	0	0	0	0	0	0	0
MIR6742	0	0	0	0	0	0	0	0
MIR6743	0	0	0	0	0	0	0	0
MIR6744	0	0	0	0	0	0	0	0
MIR6745	0	0	0	0	0	0	0	0
MIR6746	0	0	0	0	0	0	0	0
MIR6747	0	0	0	0	0	0	0	0
MIR6748	0	0	0	0	0	0	0	0
MIR6749	0	0	0	0	0	0	0	0
MIR675	0	0	0	0	0	0	0	0
MIR6750	0	0	0	0	0	0	0	0
MIR6751	0	0	0	0	0	0	0	0
MIR6752	0	0	0	0	0	0	0	0
MIR6753	1	2	0	1	0	0	1	0
MIR6754	0	0	0	0	0	0	0	0
MIR6755	0	0	0	0	0	0	0	0
MIR6756	0	0	0	0	0	0	0	0
MIR6757	0	0	0	0	0	0	0	0
MIR6758	0	0	0	0	0	0	0	0
MIR6759	0	0	0	0	0	0	0	0
MIR676	0	0	0	0	0	0	0	0
MIR6760	0	0	0	0	0	0	0	0
MIR6761	0	0	0	0	0	0	0	0
MIR6762	0	0	0	0	0	0	0	0
MIR6763	0	0	0	0	0	0	0	0
MIR6764	0	0	0	0	0	0	0	0
MIR6765	0	0	0	0	0	0	0	0
MIR6766	0	0	0	0	0	0	0	0
MIR6767	0	0	0	0	0	0	0	0
MIR6768	0	0	0	0	0	0	0	0
MIR6769A	0	0	0	0	0	0	0	0
MIR6769B	0	0	0	0	0	0	0	0
MIR6770-1	0	0	0	0	0	0	0	0
MIR6770-2	0	0	0	0	0	0	0	0
MIR6770-3	0	0	0	0	0	0	0	0
MIR6771	0	0	0	0	0	0	0	0
MIR6772	0	0	0	0	0	0	0	0
MIR6773	0	0	0	0	0	0	0	0
MIR6774	0	0	0	0	0	0	0	0
MIR6775	0	0	0	0	0	0	0	0
MIR6776	0	0	0	0	0	0	0	0
MIR6777	0	0	0	0	0	0	0	0
MIR6778	0	0	0	0	0	0	0	0
MIR6779	0	0	0	0	0	0	0	0
MIR6780A	0	0	0	0	0	0	0	0
MIR6780B	0	0	0	0	0	0	0	0
MIR6781	0	0	0	0	0	0	0	0
MIR6782	0	0	0	0	0	0	0	0
MIR6783	0	0	0	0	0	0	0	0
MIR6784	0	0	0	0	0	0	0	0
MIR6785	0	0	0	0	0	0	0	0
MIR6786	0	0	1	0	0	0	0	0
MIR6787	0	0	0	0	0	0	0	0
MIR6788	0	0	0	0	0	0	0	0
MIR6789	0	0	0	0	0	0	0	0
MIR6790	0	0	0	0	0	0	0	0
MIR6791	0	0	0	0	0	0	0	0
MIR6792	0	0	0	0	0	0	0	0
MIR6793	0	0	0	0	0	0	0	0
MIR6794	0	0	0	0	0	0	1	0
MIR6795	0	0	0	0	0	0	0	0
MIR6796	1	0	0	0	0	0	0	0
MIR6797	0	0	0	0	0	0	0	0
MIR6798	0	0	0	0	0	1	0	0
MIR6799	0	0	0	0	1	0	0	0
MIR6800	0	0	0	0	0	0	0	0
MIR6801	0	0	0	0	0	0	0	0
MIR6802	0	0	0	0	0	0	0	0
MIR6803	0	0	0	0	0	0	0	0
MIR6804	0	0	0	0	0	0	0	0
MIR6805	0	0	0	0	0	0	0	0
MIR6806	0	0	0	0	0	0	0	0
MIR6807	0	0	0	0	0	0	0	0
MIR6808	0	0	0	0	0	0	0	0
MIR6809	0	0	0	0	0	0	0	0
MIR6810	0	0	0	0	0	0	0	0
MIR6811	0	0	0	0	0	0	0	0
MIR6812	0	0	0	0	0	0	0	0
MIR6813	0	0	0	0	0	0	0	0
MIR6814	0	0	0	0	0	0	0	0
MIR6815	0	0	0	0	0	0	0	0
MIR6816	0	0	0	0	0	0	0	0
MIR6817	0	0	0	0	0	0	0	0
MIR6818	0	0	0	0	0	0	0	0
MIR6819	0	0	0	0	0	0	0	0
MIR6820	0	0	0	0	0	0	0	0
MIR6821	0	0	0	0	0	0	0	0
MIR6822	0	0	0	0	0	0	0	0
MIR6823	0	0	0	0	0	0	0	0
MIR6824	0	0	0	0	0	0	0	0
MIR6825	0	0	0	0	0	0	0	0
MIR6826	0	0	0	0	0	0	0	0
MIR6827	0	0	0	0	0	0	0	0
MIR6828	0	0	0	0	0	0	0	0
MIR6829	0	0	0	0	0	0	0	0
MIR6830	0	0	0	0	0	0	0	0
MIR6831	0	0	0	0	0	0	0	0
MIR6832	0	0	0	0	0	0	0	0
MIR6833	0	0	0	0	0	0	0	0
MIR6834	0	0	0	0	0	0	0	0
MIR6835	0	0	0	0	0	0	0	0
MIR6836	0	0	0	0	0	0	0	0
MIR6837	0	0	0	0	0	0	0	0
MIR6838	0	0	0	0	0	0	0	0
MIR6839	0	0	0	0	0	0	0	0
MIR6840	0	0	0	0	0	0	0	0
MIR6841	0	0	0	0	0	0	0	0
MIR6842	0	0	0	0	0	0	0	0
MIR6843	0	0	0	0	0	0	0	0
MIR6844	0	0	0	0	0	0	0	0
MIR6845	0	0	0	0	0	0	0	0
MIR6846	0	0	0	0	0	0	0	0
MIR6847	0	0	0	0	0	0	0	0
MIR6848	0	0	0	0	0	0	0	0
MIR6849	0	0	0	0	0	0	0	0
MIR6850	0	0	0	0	0	0	0	0
MIR6851	0	0	0	0	0	0	0	0
MIR6852	0	0	0	0	0	0	0	0
MIR6853	0	0	0	0	0	0	0	0
MIR6854	0	0	0	0	0	0	0	0
MIR6855	0	0	0	0	0	0	0	0
MIR6856	0	0	0	0	0	0	0	0
MIR6857	0	0	0	0	0	0	0	0
MIR6858	0	0	0	0	0	0	0	1
MIR6859-1	0	0	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0	0	0
MIR6860	0	0	0	0	0	0	0	0
MIR6861	0	0	0	0	0	0	0	0
MIR6862-1	0	0	0	0	0	0	0	0
MIR6862-2	0	0	0	0	0	0	0	0
MIR6863	0	0	0	0	0	0	0	0
MIR6864	0	0	0	0	0	0	0	0
MIR6865	4	7	7	3	0	1	1	3
MIR6866	0	0	0	0	0	1	0	0
MIR6867	0	0	0	0	0	0	0	0
MIR6868	0	0	0	0	0	0	0	0
MIR6869	0	0	0	0	0	0	0	0
MIR6870	0	0	0	0	0	0	0	0
MIR6871	0	0	0	0	0	0	0	0
MIR6872	0	0	0	0	0	0	0	0
MIR6873	0	0	0	0	0	0	0	0
MIR6874	0	0	0	0	0	0	0	0
MIR6875	0	0	0	0	0	0	0	0
MIR6876	0	0	0	0	0	0	0	0
MIR6877	0	0	0	0	0	0	0	0
MIR6878	0	0	0	0	0	0	0	0
MIR6879	0	0	0	0	0	0	0	0
MIR6880	0	0	0	0	0	0	0	0
MIR6881	0	0	0	0	0	0	0	0
MIR6882	0	0	0	0	0	0	0	0
MIR6883	0	0	0	0	0	0	0	0
MIR6884	0	0	0	0	0	0	0	0
MIR6885	0	0	0	0	0	0	0	0
MIR6886	0	0	0	0	0	0	0	0
MIR6887	0	0	0	0	0	0	0	0
MIR6888	0	0	0	0	0	0	0	0
MIR6889	0	0	0	0	0	0	1	0
MIR6890	0	0	0	0	0	0	0	0
MIR6891	0	0	0	0	0	0	0	0
MIR6892	0	0	0	0	0	0	0	0
MIR6893	0	0	0	0	0	0	0	0
MIR6894	0	0	0	0	0	0	0	0
MIR6895	0	0	0	0	0	0	0	0
MIR7-1	0	0	0	0	0	0	0	0
MIR7-2	0	0	0	0	0	0	0	0
MIR7-3	0	0	0	0	0	0	0	0
MIR7-3HG	0	0	0	0	0	0	1	0
MIR708	0	0	0	0	0	0	0	0
MIR7106	0	0	0	0	0	0	0	0
MIR7107	0	0	0	0	0	0	0	0
MIR7108	0	0	0	0	0	0	0	0
MIR7109	0	0	0	0	0	0	0	0
MIR711	0	0	0	0	0	1	0	0
MIR7110	0	0	0	0	0	0	0	0
MIR7111	0	0	0	0	0	0	0	0
MIR7112	0	0	0	0	0	0	0	0
MIR7113	0	0	0	0	0	0	0	0
MIR7114	0	0	0	0	0	0	0	0
MIR7150	0	0	0	0	0	0	0	1
MIR7151	0	0	0	0	0	0	0	0
MIR7152	0	0	0	0	0	0	0	0
MIR7153	0	0	0	0	0	0	0	0
MIR7154	0	0	0	0	0	0	0	0
MIR7155	0	0	0	0	0	0	0	0
MIR7156	0	0	0	0	0	0	0	0
MIR7157	0	0	0	0	0	0	0	0
MIR7158	0	0	0	0	0	0	0	0
MIR7159	1	1	0	0	0	0	0	0
MIR7160	0	0	0	0	0	0	0	0
MIR7161	0	0	0	0	0	0	0	0
MIR7162	0	0	0	0	0	0	0	0
MIR718	0	0	1	0	0	0	0	0
MIR744	0	0	0	0	0	0	0	0
MIR7515	0	0	0	0	0	0	0	0
MIR7515HG	0	0	0	0	0	0	0	0
MIR758	0	0	0	0	0	0	0	0
MIR759	0	0	0	0	0	0	0	0
MIR760	0	0	0	0	0	0	0	0
MIR761	0	0	0	0	0	0	0	0
MIR762	0	0	0	0	0	0	0	0
MIR762HG	39	45	53	58	11	22	50	39
MIR764	0	0	0	0	0	0	0	0
MIR7641-1	0	0	0	0	0	0	0	0
MIR7641-2	0	0	0	0	0	0	0	0
MIR765	0	0	0	0	0	0	0	0
MIR766	0	0	0	0	0	0	0	0
MIR767	0	0	0	0	0	0	0	0
MIR769	0	0	0	0	0	0	0	0
MIR770	0	0	0	0	0	0	0	0
MIR7702	0	0	0	0	0	0	0	0
MIR7703	0	0	0	0	0	0	0	0
MIR7704	0	0	0	0	0	0	0	0
MIR7705	0	0	0	0	0	0	0	0
MIR7706	0	0	0	0	0	0	0	0
MIR7843	0	0	0	0	0	0	0	0
MIR7844	0	0	0	0	0	0	0	0
MIR7845	0	0	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0	0	0
MIR7847	0	0	0	0	0	0	0	0
MIR7848	0	0	0	0	0	0	0	0
MIR7849	0	0	0	0	0	0	0	0
MIR7850	0	0	0	0	0	0	0	0
MIR7851	0	0	0	0	0	0	0	0
MIR7852	0	0	0	0	0	0	0	0
MIR7853	0	0	0	0	0	0	0	0
MIR7854	0	0	0	0	0	0	0	0
MIR7855	0	0	0	0	0	0	0	0
MIR7856	0	0	0	0	0	0	0	0
MIR7973-1	0	0	0	0	0	0	0	0
MIR7973-2	0	0	0	0	0	0	0	0
MIR7974	0	0	0	0	0	0	0	0
MIR7975	0	0	0	0	0	0	0	0
MIR7976	0	0	0	0	0	0	0	0
MIR7977	0	0	0	0	0	0	0	0
MIR7978	0	0	0	0	0	0	0	0
MIR802	0	0	0	0	0	0	0	0
MIR8052	0	0	0	0	0	0	0	0
MIR8053	0	0	0	0	0	0	0	0
MIR8054	0	0	0	1	0	0	0	0
MIR8055	0	0	0	0	0	0	0	0
MIR8056	0	0	0	0	0	0	0	0
MIR8057	0	0	0	0	0	0	0	0
MIR8058	0	0	0	0	0	0	0	0
MIR8059	0	0	0	0	0	0	0	0
MIR8060	0	0	0	0	0	0	0	0
MIR8061	0	0	0	0	0	0	0	0
MIR8062	0	0	0	0	0	0	0	0
MIR8063	0	0	0	0	0	0	0	0
MIR8064	0	0	0	0	0	0	0	0
MIR8065	0	0	0	0	0	0	0	0
MIR8066	0	0	0	0	0	0	0	0
MIR8067	0	0	0	0	0	0	0	0
MIR8068	0	0	0	0	0	0	0	0
MIR8069-1	0	0	0	0	0	0	0	0
MIR8069-2	0	0	0	0	0	0	0	0
MIR8070	0	0	0	0	0	0	0	0
MIR8071-1	0	0	0	0	0	0	0	0
MIR8071-2	0	0	0	0	0	0	0	0
MIR8072	0	0	0	0	0	0	0	0
MIR8073	0	0	0	0	0	0	0	0
MIR8074	0	0	0	0	0	0	0	0
MIR8075	0	0	0	0	0	0	0	0
MIR8076	0	0	0	0	0	0	0	0
MIR8077	0	0	0	0	0	0	0	0
MIR8078	0	0	0	0	0	0	0	0
MIR8079	0	0	0	0	0	0	0	0
MIR8080	0	0	0	0	0	0	0	0
MIR8081	0	0	1	3	0	0	2	2
MIR8082	0	0	0	0	0	0	0	0
MIR8083	0	0	0	0	0	0	0	0
MIR8084	0	0	0	0	0	0	0	0
MIR8085	0	0	0	0	0	0	0	0
MIR8086	0	0	0	0	0	0	0	0
MIR8087	0	0	0	0	0	0	0	0
MIR8088	0	0	0	0	0	0	0	0
MIR8089	0	0	0	0	0	0	0	0
MIR8485	0	0	0	0	0	0	0	0
MIR873	0	0	0	0	0	0	0	0
MIR874	0	0	0	0	0	0	0	0
MIR875	0	0	0	0	0	0	0	0
MIR876	0	0	0	0	0	0	0	0
MIR877	0	1	0	0	0	0	1	0
MIR885	0	0	0	0	0	0	0	0
MIR887	0	0	0	0	0	0	0	0
MIR888	0	0	0	0	0	0	0	0
MIR889	0	0	0	0	0	0	0	0
MIR890	0	0	0	0	0	0	0	0
MIR891A	0	0	0	0	0	0	0	0
